x,W,c,g,p,q,Fs,Mb,Fs_nomoon,Mb_nomoon
73.660000,0.750000,2.500000,3.250000,3.207278,-0.042722,-14.857609,1112.641491,-15.410909,1111.985715
73.708333,0.750000,2.500000,3.250000,3.206778,-0.043222,-14.859686,1111.923323,-15.414404,1111.240770
73.756667,0.750000,2.500000,3.250000,3.206278,-0.043722,-14.861787,1111.205054,-15.417924,1110.495655
73.805000,0.750000,2.500000,3.250000,3.205778,-0.044222,-14.863912,1110.486683,-15.421470,1109.750370
73.853333,0.750000,2.500000,3.250000,3.205279,-0.044721,-14.866062,1109.768209,-15.425042,1109.004913
73.901667,0.750000,2.500000,3.250000,3.204779,-0.045221,-14.868235,1109.049630,-15.428639,1108.259282
73.950000,0.750000,2.500000,3.250000,3.204279,-0.045721,-14.870433,1108.330946,-15.432261,1107.513477
73.998333,0.750000,2.500000,3.250000,3.203779,-0.046221,-14.872655,1107.612154,-15.435909,1106.767496
74.046667,0.750000,2.500000,3.250000,3.203279,-0.046721,-14.874901,1106.893255,-15.439583,1106.021338
74.095000,0.750000,2.500000,3.250000,3.202780,-0.047220,-14.877171,1106.174247,-15.443282,1105.275002
74.143333,0.750000,2.500000,3.250000,3.202280,-0.047720,-14.879466,1105.455128,-15.447007,1104.528487
74.191667,0.750000,2.500000,3.250000,3.201780,-0.048220,-14.881784,1104.735898,-15.450757,1103.781791
74.240000,0.750000,2.500000,3.250000,3.201280,-0.048720,-14.884127,1104.016555,-15.454533,1103.034913
74.288333,0.750000,2.500000,3.250000,3.200781,-0.049219,-14.886494,1103.297098,-15.458334,1102.287852
74.336667,0.750000,2.500000,3.250000,3.200281,-0.049719,-14.888885,1102.577527,-15.462161,1101.540607
74.385000,0.750000,2.500000,3.250000,3.199781,-0.050219,-14.891300,1101.857839,-15.466014,1100.793176
74.433333,0.750000,2.500000,3.250000,3.199281,-0.050719,-14.893739,1101.138034,-15.469892,1100.045558
74.481667,0.750000,2.500000,3.250000,3.198782,-0.051218,-14.896203,1100.418110,-15.473795,1099.297753
74.530000,0.750000,2.500000,3.250000,3.198282,-0.051718,-14.898690,1099.698067,-15.477724,1098.549758
74.578333,0.750000,2.500000,3.250000,3.197782,-0.052218,-14.901202,1098.977903,-15.481679,1097.801572
